Protein IDs	%iBAQ	Unique peptides	Unique + razor sequence coverage [%]
Q9UBQ5;B7ZAM9;K7ERF1;K7EMQ9;K7ES31;K7EQM4;K7EK53;B4DQ48	0.02318043	8	46.8
Q15370-2;Q15370;B8ZZU8;I3L0M9	0.02318043	7	38.5
P62306	0.02318043	2	24.4
Q8NBZ7-2;Q8NBZ7;B3KV61;Q8NBZ7-3;C9JW33;B4E3U7;C9JE50;C9JCB7;C9JFU6;C9J3T9	0.02318043	10	32.9
O14684	0.02301719	3	18.4
Q9H9S4;Q5TAW7;B7ZBJ4;B7ZBJ5;B7ZBJ6;B7ZBJ7	0.02301719	14	38.9
F5H6I0;P61769;H0YLF3	0.02285395	2	16.4
O43633;M0R1L7;M0R1T5;M0QXX8	0.02285395	6	25.7
P54727;Q5W0S5;P54727-2;Q5W0S4;H0Y579	0.02285395	11	33.7
Q9NWB6;Q9NWB6-2	0.02285395	8	19.4
O60841	0.02252746	32	29.1
P84095	0.02252746	8	46.1
K7ELC2;P62841;K7EQJ5;K7EM56;K7EJ78	0.02236422	6	50
Q7Z406-6;Q7Z406-2;Q7Z406;G8JLL9;F2Z2U8;Q7Z406-4;Q7Z406-5;M0QY43	0.02236422	81	45.2
Q96C19;H0Y4Y4	0.02236422	6	31.7
Q9BY32;Q9BY32-3;Q9BY32-2	0.02236422	5	36.1
P40925-3;P40925;P40925-2;B9A041;B8ZZ51;C9JF79;C9JRL4;C9JLV6	0.02220098	10	35.8
P55263;P55263-2;P55263-3;B7Z800	0.02220098	13	40.9
P62195;P62195-2;J3QQM1;J3QSA9;J3KRP2;J3QLH6;J3QSE0;J3QRW1;J3QRR3	0.02220098	13	42.1
P36405	0.02203774	9	62.6
Q641Q3;B3KSJ5;I3L0R0	0.02203774	9	28
Q9H0C8;H7C2I8;E9PC05	0.02203774	10	28.6
P61081;M0QX69;M0QYI6	0.02187449	7	31.7
Q14444;Q14444-2;G3V153;E9PLA9;E9PP31	0.02187449	16	19.6
Q15459;E9PAW1;H7C1L2;F8WB66;F8WC79	0.02187449	36	44.9
Q8WUM4-2;Q8WUM4;C9IZF9;F8WBR8;F8WEQ7;F8WDK9	0.02187449	45	51.7
Q03060-6;P16220;G5E998;P16220-2;E9PHM1;C9JK96;Q03060-21;P18846;C9IYZ7;Q03060-26;A8MPQ2;P16220-3;B4DRF9;Q03060-8;Q03060-24;Q03060-9;Q03060-23;E9PAR2	0.02171125	2	4.6
O00410-3;O00410;H0Y8C6;B4E0R6;O00410-2;E7ETV3;C9JMV5;E7EV12;E7EQT5;E7EX05;E7EWK4;H0Y3V4;E7ETV8;E7ESZ1;E7ESA1;C9JQT6;C9JZD8;O60518;C9JZ53;C9J875;C9J5I6;C9JXE0	0.02171125	37	44.1
Q9HCY8	0.02171125	4	36.5
Q9Y2R0;K7EPV0	0.02154801	3	26.4
O00487	0.02122152	11	44.2
O43390;O43390-2;Q2L7G6;E7ETM7	0.02105828	16	26.4
P46060;F8W7I9;H0Y4Q3;B0QYT4;B0QYT5;B0QYT6	0.02105828	22	38.5
Q9UHD8;Q9UHD8-5;Q9UHD8-2;Q9UHD8-7;Q9UHD8-3;K7ENL0;Q9UHD8-8;Q9UHD8-9;Q9UHD8-4;K7EL40;K7EPY1;K7EK18;K7EJ51;K7EQD7;K7EIE4;K7ER52;K7EJV0;K7ER14;K7ELJ9;K7EJZ2;K7ENQ5;K7EN52;K7EKN4;K7EIR4;K7ER34;K7EJL9;K7ERG1	0.02105828	23	39.1
Q9Y4Z0;M0QXB0	0.02105828	6	31.7
O60573;B8ZZ50;B8ZZJ9;B9A044;C9JEL3;B8ZZL3;B9A023;B4E1E4	0.02089504	9	43.7
Q86Y56;Q86Y56-2;H0Y650;E9PGY2;Q86Y56-3;H7C3B1	0.02089504	26	32.6
Q92572;F5H459	0.02089504	7	37.8
P07384;E9PL37;E9PRM1;E9PQB3;E9PLQ6;E9PSA6;E9PJA6;E9PMC6;E9PLC9;E9PJJ3;E9PLX0;E9PIA9	0.0207318	29	37.1
Q96IX5	0.0207318	2	43.1
Q99615;Q99615-2;K7EIH8;K7ESP1;K7EPP7;K7ER44;K7EJV7;K7EN19;K7EJL5;K7ELJ8;K7EK03;K7EJE9;K7EJ24;K7EQ73	0.0207318	24	41.1
P39023;G5E9G0;H7C422;B5MCW2;H7C3M2;F8WCR1;Q92901	0.02056855	12	26.8
P55039;A8MZF9;J3QKW7;J3QRI9;J3QR71;J3KRL5;J3QKV7;J3QL90;J3QLF3	0.02056855	10	29.4
Q9NZJ9-2;Q9NZJ9-3;Q8NFP7;Q96G61	0.02056855	2	27.6
Q12904-2;Q12904;D6R937	0.02024207	11	36.9
Q9Y5X2;C9J271;C9J014;C9J8E6;C9JCB9;C9IYC5	0.02024207	15	38.9
Q9Y696;Q96NY7;Q96NY7-2;Q9NZA1;Q9NZA1-2;O15247;Q9NZA1-3;A6PVS0	0.02007883	8	38.3
Q14258	0.01991558	16	30.3
Q9Y3E7;Q9Y3E7-3;Q9Y3E7-4;Q9Y3E7-2	0.01991558	4	16.7
P48556;K7EJR3;K7EJC1;K7ENY6;K7ERW6	0.01975234	7	20.9
P12004	0.01975234	11	44.8
P14635;E9PC90;Q5TZP9;D6RHI0;H0YA62	0.01975234	8	21.7
A7YIJ8;P35241;F5H1A7;P26038;P35241-2;H0YE16;P35241-3;E9PNV3;E9PQ82;E9PKN5	0.01975234	23	35.4
Q52LJ0-2;Q52LJ0;H0YNA1	0.01975234	8	28.4
Q8TEX9-2;Q8TEX9;H0YN14;H0YMR4;H0YN07;H0YL92;H0YLV0;H0YKG5;H0YK93;REV__A8MXQ7	0.01975234	35	41.1
Q9NVJ2;B4DI85	0.01975234	3	34.9
J3QL51;P18621;J3KRX5;J3QQT2;J3QLC8;P18621-2;J3QS96;J3KRB3;J3KSJ0	0.0195891	6	26.3
Q8TF65	0.0195891	1	5.4
D6RER5;Q9NVA2;D6RGI3;Q9NVA2-2;D6RDU5;H0Y961;D6R9Y6;D6RDP1;H0Y9G8	0.01942586	9	43.8
E7EU23;P50395;P50395-2;Q5SX87;Q5SX86;Q5SX90;Q5SX91	0.01942586	11	41.2
O14979;O14979-2;O14979-3	0.01942586	7	14.3
Q8WXX5	0.01942586	12	39.6
Q01844-5;Q01844;Q01844-3;B0QYK0;Q01844-6;C9JGE3;Q01844-2;H7BY36;Q01844-4;F8WC90	0.01926261	6	12.1
P55786;E9PLK3;B7Z463;A6NEC2;E7EWZ2;E5RJ24;H0YAQ6;F5GZY4;A6NEC2-2;H0YDG0;E9PP11;L7N488;E9PJ74;H0YCQ5;E9PRQ5;A6NEC2-3;E9PPD4;E9PJY4;E9PPZ2;E9PJF9;E9PI82	0.01926261	36	43.5
P17980;E9PM69;E9PKD5;E9PMD8;E9PN50;E9PS45;E9PLG2;E9PLQ8;E9PRB8	0.01926261	14	39.2
P23193;P23193-2;E5RIS7;E5RJ93;B7Z4S1;E5RFI1;E5RK46	0.01926261	13	46.5
P33992;B1AHB1;B1AHA9;B1AHB2	0.01926261	27	40.3
Q12965;H0YNQ8;H0YLJ4;H0YLE5;H0YN00;H0YNB0	0.01909937	26	31
Q13177;H7C1X3;O75914-3;O75914-4;O75914;O75914-2;B1AKS5;Q13153-2;Q13153;B3KNX7;E9PM17	0.01909937	15	33.2
O75874;C9J4N6;C9JLU6;C9JJE5	0.01893613	13	33.1
P43490;Q5SYT8;F5H246;C9JG65;C9JF35	0.01893613	22	46.6
P55210-2;Q5SVL1	0.01893613	2	6.3
Q7L5D6;Q7L5D6-2;C9JHN8;C9JPA8;C9JY46	0.01893613	9	29.7
Q9H3U1-2;Q9H3U1;Q9H3U1-3	0.01893613	34	41.9
H0Y7A7;E7ETZ0;P62158;E7EMB3;Q96HY3;G3V361;G3V479;M0QZ52;G3V226;F8WBR5;P02585;P27482;C9J7T9	0.01877289	7	36.4
P61599;A8MZB2;P61599-2	0.01877289	6	41.6
Q13242;H0YIB4	0.01877289	7	30.8
P09382;F8WEI7	0.01860964	8	58.5
P21283;E7EV59;Q8NEY4;Q8NEY4-2	0.01860964	18	42.1
P61106	0.01860964	10	56.7
A8MXP9;P43243;D6REM6;H0Y8T4;P43243-2;B3KM87;D6R991;D6RBK5;D6RIA2;D6RE02;D6RBI2;D6R8Z5;D6REK4;D6RCM3;D6RBS2;D6RAY2;D6RAM9;D6R9F3;D6RB45	0.0184464	10	13.1
P48735;B4DFL2;B4DSZ6;H0YL11	0.0184464	11	25.9
P40616;B4DWW1;F8VYN9;B4DZG7;F8VP63;F8W1Z8;F8VP99	0.01828316	5	37
G5E9E7;Q07157-2;G3V1L9;Q07157;H0YLT6;H0Y3R8	0.01811992	32	28.2
Q5T280	0.01811992	10	33
Q5VV41;Q5VV41-2;B4DJM7;B0QZD4;B0QZD3	0.01811992	20	35.1
H7C2I1;Q99873;Q99873-4;Q99873-2;Q99873-3;E9PKG1;E9PIX6;E9PQ98;H0YDE4;E9PNR9;Q9NR22;Q9NR22-2	0.01795667	13	30.5
P11166;C9JIM8	0.01795667	8	18.3
P43686;P43686-2	0.01795667	15	46.4
Q01658	0.01795667	4	29.5
Q9Y5S9;Q9Y5S9-2	0.01795667	6	32.2
O43583;F8VVL1	0.01779343	4	26.8
Q01082;Q01082-2;F8W6C1;P11277-2;P11277;P11277-3	0.01779343	4	52.6
Q7L9L4-2;Q7L9L4;Q9H8S9;H7BZ12;Q9H8S9-2;D6RCK3	0.01779343	3	15.8
Q96PK6;Q96PK6-2;B8ZZ74;F2Z2W2;F8WDX3;Q2PYN1;Q96PK6-3	0.01779343	10	22.7
P53582;F5GXS7;H0Y955;H0Y903	0.01763019	9	31.3
Q9BZZ5;G3V1C3;Q9BZZ5-2;Q9BZZ5-3;B4E283;Q9BZZ5-5;Q9BZZ5-1;H0YER7;E9PQK6	0.01763019	17	36.1
Q15645;H0YAL2;Q15645-2	0.01763019	16	48.8
Q92597;E9PDL6;Q92597-2;Q92597-3;E5RIM2;E5RIV1;E5RGM5;E5RIR1;E5RK17;E5RH82;E5RI76;E7ESM1;E5RJY1;E5RG99;E5RJ98	0.01763019	7	29.9
Q92900;Q92900-2	0.01763019	37	36.2
B7Z7Q0;P48739;P48739-2;B3KYB7;B3KYB6	0.01746695	12	44.7
O60678;O60678-2	0.01746695	15	25
Q9C037;Q9C037-2;Q9C037-3;H7C0Q6	0.0173037	1	2.2
P23258;Q9NRH3;K7EIS0;K7EKE5	0.0173037	15	42.6
Q86WX3;F8WFE7	0.0173037	4	34.6
A7MAP1;A7MAP0;Q9ULV4;B4E3S0;H0YHL7;F8VVB7;F8VTT6;F8VRE9;F8VSA4;F8VUX3;F8W1H8;F8VV53	0.01714046	11	19.4
P36952;P36952-2;C9JLM5	0.01714046	16	47.5
Q96A72;P61326;F5H6P7;F5H6N1;A6NEC0;B1ARP8;F5H3U9;F5H124	0.01714046	7	46.6
G5E9M5;Q12906;Q12906-3;Q12906-6;Q12906-2;Q12906-4;Q12906-5;K7EKJ9;K7EQR9;K7ER69;K7EJ09;K7EM82;K7ENK6;K7ERM6;K7EKY0;K7EPG3;K7EQ75	0.01697722	19	28.4
P08243;P08243-2;P08243-3;F8WEJ5;C9J057;C9JT45;C9JM09;C9JLN6	0.01697722	15	27.1
Q08211;Q08211-2	0.01697722	43	35.7
Q13547;Q5TEE2;F5GXM1	0.01697722	5	22.2
Q15056;Q15056-2	0.01697722	7	32.7
Q9NRX1;F8WBJ6	0.01697722	9	44
Q9UBS4;H7C2Y5	0.01697722	10	29.3
F8VXU5;H3BLV8;Q9UBQ0-2;Q9UBQ0;Q05DG7	0.01681398	5	24.8
P49458;P49458-2;E9PE20	0.01681398	5	53.5
P62241;Q5JR95	0.01681398	6	32.7
A4D0Z6;J3KNX8;C9JV30;P20839-3;E7EQS0;P20839;C9J381;P20839-4;P20839-2;C9K0R9;H7C511;H7C5T1;C9J029	0.01665073	14	28.4
Q66K74;B4DH53;M0QY41;M0QXQ9;M0R1J2;M0R1M7;M0QZ50	0.01665073	16	19.4
O14929;O14929-2;F8W9G7	0.01665073	8	31.7
P14625;Q58FF3;H0YIV0;F8W026;F8VPC7	0.01665073	26	33.1
Q8TBX8;Q8TBX8-3;Q8TBX8-2;F8VU68;F8VNT5;H0YIJ6	0.01665073	12	24.7
Q92600;B7Z1E5;B5MDQ4;F8WBZ6;H7C0W0	0.01665073	12	41.8
Q9UNH7;Q9UNH7-2;B4DJS7;G3V5X9;G3V4Z5;H0YJF8;G3V5U2;Q86XE0;Q86XE0-2;G3V2U1	0.01665073	14	32.5
O60869;O60869-2	0.01648749	5	33.1
Q9UKD2	0.01648749	13	49.4
Q16537;B7ZKK9;J3KQN6;Q15173;Q15173-2	0.01632425	10	30.2
P61586;C9JX21;C9JNR4;C9JRM1;C9J1T2	0.01632425	6	32.1
Q7L576;Q7L576-2;E7EVF4;Q96F07-2;E7EVJ5;E7EWA4;Q96F07;F5H583;Q7L576-3;E7EW33;H7C229;H0YL50;H0YN93;H0YL39;H0YLJ5;E5RFQ0;H0YNP0;E5RJW3	0.01632425	38	31.4
P52907	0.01614468	6	38.1
Q99584	0.01611203	5	48
Q9NZB2-6;Q9NZB2;Q9NZB2-4;Q9NZB2-5;Q9NZB2-2;H7C0T0;Q5T035	0.01599776	28	29.2
Q9H7Z7;H7C5L1;A6NHH0	0.01598144	13	42.4
Q14566	0.01586717	33	43.4
Q96RN5;Q96RN5-2;Q96RN5-3;G3V1P5;F5GZU5;H7C308;B4DM43;C9J1I1;C9JGN2;C9JZV5;C9JLN7;C9JM58;F2Z2B7;F8WDM6	0.01583452	11	14
Q13526;K7EN45;K7EMU7	0.01580187	4	35
P35659;B4DFG0;P35659-2;D6RDA2;D6R9L5;H0Y8X0;H0Y993	0.01567128	10	24.8
P18031;B4DSN5	0.01554068	11	25.7
O75937	0.01552436	8	33.2
P41240;H3BUM9;P42679-2;P42679;K7EQY5;P42679-3;K7ES68;K7ENL8;H3BN15	0.01544274	13	30.4
P56537;B7ZBG9;B7ZBH1	0.01544274	5	31.4
Q09028;Q09028-3;Q09028-2;Q09028-4;H0YF10;H0YDK2;H0YCT5;Q5JP02;B4DRT0;H0YEU5;Q5JP01;E9PNS6;E9PIC4;E9PNS2;C9JPP3;C9J959;C9JAJ9	0.01537744	3	24.9
Q15102;M0R1K3;M0R389;M0QZT2;M0R323;M0QXS6	0.01529582	7	35.5
B3KYA7;Q13188;E5RFQ9;Q8NBU1;E5RIM6	0.01524685	7	27.9
P16402;P10412;P16403;Q02539;P22492	0.01518155	5	18.6
J3KPP4;O95232;B4DJ96;D6RDI2;H0YA81;D6RHH0;C9JL41;O95232-2;E7EN55	0.0151489	8	15.3
P22087;M0R2Q4;M0QXL5;M0R299;M0R0P1;M0R2B0;M0R1H0;M0R2U2	0.01513258	5	22.1
P53618;E9PP73;E9PKQ1;E9PP63	0.01511625	30	39.7
Q14790-9;Q14790-4;Q14790;Q14790-2;Q14790-7;Q14790-8;Q14790-3;Q14790-5;Q14790-6;E7EQ06;E7ETB7;C9JB29;H7C0E2;E7EVN1;E7EQ01;H7BZM4	0.01509993	4	6.3
O14980;C9JKM9;C9J673;C9JV99;C9JQ02;C9IZS4;F8WF71;H7BZC5;C9IYM2;C9JF49	0.01506728	30	31.7
Q9P258	0.01503463	17	37.5
P67775;P67775-2;E5RI56	0.01500199	1	34
K7EM18;P41567;O60739	0.01498566	3	38.8
Q8IUR0;M0QZQ8	0.01498566	6	30.3
P63272;J3QSB9;D3DTZ5	0.01496934	3	22.2
P18206;P18206-2;Q5JQ13;B4DTM7;P18206-3	0.01496934	54	52.5
P52298;E9PAR5;P52298-2;B3KSB0;C9JQX9;F8WE41	0.01487139	4	26.9
Q99816;F5H442;Q99816-2;J3QKS4	0.01485507	14	38.2
Q9UJ70-2;Q9UJ70;H7C3G9;C9JEV6;H0YEB7;H7C1L7;E9PPU6;H0YC94;H0YF44	0.01483874	12	39.2
Q7RTV0	0.01482242	3	20.9
P41223;C9JNV2;C9JCD9;F8WCN7	0.01480609	8	47.9
P61086;B4DIZ2;P61086-3;D6RDM7;P61086-2	0.01480609	7	52
P09874;Q5VX85;Q5VX84	0.01478977	31	34.1
P62191;B4DR63;G3V4X1	0.01478977	12	31.6
Q13501;E7EMC7;Q13501-2;E9PFW8;E3W990;C9JRJ8;C9J6J8;D6RBF1	0.01478977	9	23.6
P67936;P67936-2;K7ENT6;K7ERG3;Q5TCU8;CON__Q3SX28;P07951;P07951-2;Q5TCU3;P07951-3;K7EMU5;K7EPV9;K7EPB9	0.01472447	10	31.5
O43143	0.01462653	23	30.1
P61158;B4DXW1;F5H3P5;Q9P1U1;Q9P1U1-2;Q9P1U1-3;C9IZN3;Q9C0K3;H7C4J1	0.01456123	12	40.7
P00374;B4DM58;B4DDD2;Q86XF0;C9JJ68	0.01443064	6	31
P78417;P78417-3;Q5TA02;P78417-2;Q5TA01	0.01443064	9	33.6
Q0VDF9;H7C2A1;B0YIZ1	0.01443064	16	36
P38117-2;P38117;M0QY67	0.01441431	10	27.7
Q9ULX3;H3BUR4	0.01436534	9	22.6
O75964;E9PN17	0.01431637	4	46.6
H0Y9X1;Q96EY4;D6RA57;D6RC31;D6RE67	0.01426739	3	12
O95816;B4DXE2;A2A296	0.01425107	8	37.4
P48507	0.01423474	6	26.3
Q8NCA5;Q8NCA5-2;E9PH82;B4DT23;C9J3G8	0.01423474	7	19.3
O00505;H0Y4S9	0.01415312	5	25.9
Q9BYG5;A2A2A7;Q9BYG4;Q9NPB6;Q9NPB6-2	0.01412048	8	22.6
J9JIE6;Q9UM00;Q9UM00-2;J3QQY2;J3KS45	0.01408783	3	15.5
Q04837;E7EUY5;C9K0U8	0.01405518	3	21.6
P48729-2;P48729;Q71TU5;E7ETM0;D6REM4;H0Y9X2;Q8N752;D6RGE5;E5RG27	0.01398988	10	36.7
P43246;E9PHA6;P43246-2;C9J809	0.01397356	24	26.9
P11216;P06737;E9PK47;P06737-2;H0Y4Z6;E9PMM6	0.01394091	21	34.5
Q92973;Q92973-2;Q92973-3;E7EW37;B4DSC0;E5RI07;J3KPU5;K7ESC1;K7ENW1	0.01390826	15	28.8
Q96T76-8;Q96T76;Q96T76-9;Q96T76-5;H0Y746;Q96T76-7;Q5T454;B0QZ77;F8WCH8;H0Y7V3;H7C1W5;H7C0A9	0.01381032	31	37.5
P36969;P36969-2;K7EJ20;K7EKX7;K7ENB4;K7ERP4;K7EQM8	0.01376134	7	42.6
O00391;O00391-2;A8MXT8	0.01371237	25	37.6
P47897;B4DWJ2;B7Z840;C9J165;H7C0R3;C9JSG9;F2Z2V6	0.01371237	35	50.2
E7ERK9;Q9UI10-2;Q9UI10;Q9UI10-3;F8W8L6;H7C2L8	0.01369604	11	28.7
O75131;E5RG68;H0YB26;E5RHZ0;E5RJ85;Q9UBL6;F5GXN1;Q9HCH3;Q96A23-2;Q86YQ8;Q9UBL6-2;O95741;Q96A23;Q8IYJ1;E7ENV7;Q96FN4;Q719H8;Q7Z6C8;Q86VY2;E5RG97	0.01369604	11	20.3
Q8TDX7;F8WAG2;Q8TDX7-2;F5H3U7	0.01367972	4	24.8
C9IZQ1;E9PAL7;P43307;C9J5W0;C9J3L8;F5H5Y2;P43307-2	0.01364707	3	11.4
Q9Y221;Q9Y221-2;J3QLW7;J3QRR4;J3QRD6	0.01356545	6	45.6
O43172;O43172-2	0.01354913	12	28.2
P35998;B7Z5E2;C9JLS9	0.0134675	19	39
Q15417;F8WA86;B4DFK6;E9PDU6	0.01343486	6	24
Q9P2J5;B4DER1;B4DJ10;F5H698	0.01341853	35	31.4
Q9P287-2;Q9P287;Q9P287-3;Q9P287-4;B4E318	0.01341853	5	19.3
Q9UFW8;C9JUJ0	0.01338588	5	31.1
P62995;P62995-3;H7C2L4;H7BXF3	0.01333691	5	15.6
Q96GG9;C9JVE2;C9J8R4;C9JUW4;C9J0B2;C9JRU6;F8WC32	0.01328794	10	32
Q9GZM7;Q9GZM7-3;Q9GZM7-2;E7EUP2;B4DNS5	0.01323897	8	20.1
Q9Y376	0.01317367	13	34.9
Q9Y5Y2;H3BNF0;H3BNS4;H3BMW1;H3BRK5;H3BQR2;H3BRE1;B7Z6P0	0.01315735	5	26.2
P12429;D6RA82;D6RFG5;D6RCA8;D6RAZ8;D6RFJ9	0.01314102	14	44.6
Q9NPD3;E9PI41;E9PPI9	0.01314102	5	21.2
Q92526;B4DX20;Q92526-2	0.0131247	1	2.3
P68366;A8MUB1;C9JJQ8;C9JQ00;C9JEV8;C9JDL2	0.01310837	3	7.6
Q9Y365;F5H8H3;F5H1Z6;F5GY11;F5H8G1;F5H0V7;H0YFF3;H0YH17;F5GWK5;H0YGA9;F5H3G8;F5H5A8;H0YGN8;F5GY07	0.01310837	8	27.1
Q9UBQ7;Q5T946;Q9H636	0.01309205	8	30.2
G5E9Q2;O75534-3;O75534;O75534-2;E9PLT0;E9PNG3;E9PLD4;E9PKN4;E9PJK7	0.0130594	29	32.6
P30040;F8VY02;F8W1G0;P30040-2	0.01301043	7	28.4
Q06203;D6RCC8;D6RE15	0.01301043	13	31.9
Q13310-3;Q13310-2;Q13310;B1ANR0;H0Y5F5;H0YEU6;H0YCC8;B1ANR1;H0YEQ8;J3KTH5;P0CB38;H0Y6X6;H0YER0	0.01301043	18	24.7
Q9H0B6;Q9H0B6-2;A8MZ87;A8MX29;E9PQ02;E9PM83;C9JHT2;E9PP09;E9PI24	0.01301043	13	37.9
Q14166	0.0129941	15	28
P35232;C9JW96;E9PCW0;E7ESE2;C9JZ20;B4DY47;D6RBK0	0.01297778	12	54
Q15029;K7EJ81;Q15029-2;K7EP67;K7EJ74	0.01292881	35	40.2
Q12792;Q12792-3;Q12792-4;F8VS81;F8W1Q9;F8VRG3;F8W645	0.01291248	8	30.9
P35250;P35250-2;H7C5P4;H7C5G4;H7C5A0;F8WC37;H7C5Q7;H7C5P1;H7C5S7	0.01283086	9	27.7
Q9Y2A7-2;Q9Y2A7;P55160;P55160-2;F8W050	0.01281453	41	36.1
Q92979	0.01279821	6	30.7
Q96I24;Q96I24-2	0.01279821	15	34.8
P05387;H0YDD8	0.01273291	2	39.1
Q9BWJ5	0.01268394	3	38.4
Q13418;B7Z1I0;B7Z418;E9PNR4;E9PM54	0.01266762	12	26.5
P01111;P01112	0.01263497	2	23.3
P36578;H3BM89;H3BU31;H3BTP7	0.01261864	9	24.8
Q7LBR1	0.01253702	3	12.6
P53396;P53396-2;B4E3P0;K7ESG8;K7EIE7	0.01250437	35	35.9
P46734-3;P46734;P46734-2;E9PRZ0;J3QR49;K7EIW3;K7ELM6	0.01243908	5	20.5
I3L4C2;Q9UQB8;Q9UQB8-2;Q9UQB8-6;Q9UQB8-4;Q9UQB8-5;Q9UQB8-3;F8W878;B4DWA1;I3L2M4;I3L327;I3L3J7;I3L1C8;I3L125;I3L0M4;I3L3C5;I3L3C6;I3L0Y9;I3L526;I3L113;I3L2J6;I3L4A3	0.01242275	18	37.3
Q69YL0	0.01240643	4	31.3
H0YMV8;Q71UM5;C9JLI6	0.01229216	3	13
Q9Y530;C9JNE2;C9JXC3;C9J5P1;H7C5Q1;C9IZY1;C9JA90	0.01225951	5	27.6
Q9GZS3;H0YN81;H0YMF9;H0YL19;H3BQA8;H0YM76;H0YLA1	0.01224319	10	44.6
P28066;P28066-2	0.01224319	5	25.3
O14776;O14776-2;G3V220;Q5VWI1	0.01221054	26	21.7
P07237;H7BZ94;F5H8J2;I3L2P8;I3L312;I3L398;H0Y3Z3;I3L3U6;I3NI03;I3L0S0;I3L4M2;I3L3P5;I3L514;I3L1Y5	0.01219421	24	51.8
Q9BVI4;F5H303;F5H5K6	0.01217789	22	50.8
Q11201;E5RHV6;E5RGL4	0.01216157	5	18.5
P62633-6;P62633-4;P62633;P62633-5;P62633-2;P62633-3;B4DP17;D6RAT4	0.01212892	6	36.9
Q13144;E9PC74;C9JRD9;H7C2X0	0.01207994	16	25.8
P17812;B4DR64;B7Z9C4	0.0120473	21	43.7
Q13057-2;Q13057;K7EN91;K7ES73;K7ESK6;K7EQ60;K7EP09;K7EPT0	0.011982	10	20.4
Q13596;Q13596-2;Q13596-3;H0YK42;A6NKH4;H0YK43	0.01194935	9	22.2
P19623;K7EQ47;K7ESL0;K7EL89;K7EKM4	0.01193303	7	20.2
H7BY58;J3KP72;P22061-2;P22061;B7Z972;F8WAX2;F8WAV5;F8WDT3;C9J0F2;H7C4X2	0.0119167	7	40.2
Q14CX7;Q14CX7-2;H0YHR9;F8VSB9;F8W1S0;F8W0N5	0.0119167	23	24.5
Q53EL6;Q53EL6-2;Q5VZS7	0.0119167	11	27.7
Q9P0S3;Q8N138;Q8N138-4;B9A069;J3KTF9;J3QRM9	0.01190038	2	34.6
P20290;P20290-2;D6RDG3;H0Y9Y1	0.01183508	5	31.6
Q86UY6;B4DR03;B4DU10;F5H2C9	0.01172081	3	16.5
Q9NUQ8;Q9NUQ8-2;F8WCU6	0.01172081	21	36.5
Q6GMV3	0.01165551	3	25
P57737-3;I3L3T0;I3L0X9;Q9Y3D7;I3L1U7;P57737;P57737-2;B3KSY4;I3L167;E7EP81;I3L212	0.01162286	7	7.9
Q9Y223-2;Q9Y223;K4DID8;H0YFA7;Q9Y223-3;Q9Y223-4;Q9Y223-5	0.01160654	28	40.9
P61981	0.01157389	7	40.9
P50750-2;P50750	0.01152492	9	19.6
P61289-2;P61289;K7ESG5;B3KQ25;K7ENH2;K7EKR3;K7EPX6;K7EMD0;B7Z8D3	0.0115086	6	24.3
J3QQJ0;Q9UHR5;Q9UHR5-2;J3QLH3;J3KRU5;F5H478;J3KRR6;J3KS14;J3QLM2	0.01145962	11	31.7
O75146;H0YH66;O00291;O00291-3	0.01145962	41	38.8
P22314;Q5JRR6;Q5JRS0;Q5JRR9;Q5JRS2;Q5JRS3;Q5JRS1	0.01145962	31	33.1
P02545;P02545-3;Q6UYC3;P02545-2;P02545-4;D6RAQ3;Q5TCI8;H0YAB0	0.01139433	30	46.1
Q14558-2;Q14558;B4DP31;C9J168;C9JNQ3;C9JUN4;C9JKT9	0.011378	6	23.6
P49773;D6RD60;D6RE99;D6REP8;D6RC06	0.01136168	5	42.9
Q8NCH0;H0YN65	0.01131271	10	29.3
Q14C86-6;Q14C86;Q14C86-2;Q14C86-5;Q14C86-4;Q14C86-3;F8W9S7;C9IZ08;B4DGD8;B0QZ65;H0Y7I9;H0Y4E7;C9IZX9	0.01129638	24	16.3
Q5SRQ6;P67870;Q5SRQ3	0.01129638	3	13.2
H7BZJ3	0.01126373	1	11.4
Q53H96;H0Y6C3;B5MD87;F8WEI0	0.01124741	7	33.2
O60437;K7EKI8;K7EQ71;REV__Q9UPN4;REV__Q9UPN4-2;REV__I3L2J8;REV__Q9UPN4-3;Q5JTW2-2;E9PHX5;A8MST6;Q5JTW2-3;Q5JTW2;REV__I3L2X7;REV__I3L4M5;REV__Q9ULW3	0.01123108	87	49.8
Q8NE71;Q8NE71-2;H0YGW7;Q5STZ7;H0Y412	0.01121476	9	12.5
Q99460;Q99460-2;H7C378;C9J9M4;H7BZR6	0.01121476	26	31.3
C9JCC6;Q14919-2;Q14919;E9PNC7;E9PQX9	0.01119843	3	15.1
H0YK83;P67812;H0YK72;H0YNG3;B4DUL4;H0YNA5;H0YNX5;H0YKT4	0.01113314	3	15.7
Q53H12;E9PC15;E9PG39;Q53H12-2	0.01111681	11	30.6
O95372;Q5QPQ2;Q5QPQ3;Q5QPQ0;Q5QPQ1;Q5QPN9;E7EPS4;Q5QPN5	0.01110049	4	26
P38159;P38159-2;H3BT71;H0Y6E7;Q96E39;H3BUY5;B3KRG5;P38159-3;H3BR27;O75526;H3BNC1;Q8N7X1;Q8IZ40	0.01110049	13	31.7
